experiment,user,video,startingTime,endTime,N,magQuat,avTsampling,avFsampling
1,15,0,0.0,278.327,24917,1.000000064457001,0.011170164947626118,89.52419276606295
1,15,1,0.021,341.041,30515,1.000001067800478,0.011175487465181058,89.481555333998
1,15,2,0.0,186.03900000000002,16653,0.9999967777700108,0.011171500630517025,89.5134891071227
1,15,3,0.0,361.335,32367,0.9999988536736377,0.011163685234961534,89.57615509153557
1,15,4,0.0,172.015,15827,0.9999958419283822,0.01086845264421558,92.00941778333285
1,15,5,0.0,205.623,18432,0.999998307039867,0.011155761718749999,89.63977765133279
1,15,6,0.021,373.066,33425,1.0000002165044088,0.01116065818997756,89.60045034781328
1,15,7,0.021,226.017,20259,1.0000010130634673,0.011155338368132683,89.64317952530132
1,15,8,0.021,520.503,46608,0.9999977988766728,0.011167224510813596,89.54776534058813
1,16,0,0.0,278.32599999999996,24830,1.0000028319292509,0.01120926298832058,89.21193133232254
1,16,1,0.021,341.041,30390,1.0000011370027564,0.01122145442579796,89.1150079174242
1,16,2,0.021,186.03900000000002,16617,0.9999982367452788,0.011194439429499912,89.33006483243555
1,16,3,0.021,361.343,32064,1.0000017004526003,0.0112687749500998,88.74079076280991
1,16,4,0.021,172.015,15812,1.0000040625680922,0.010877434859600304,91.93343953858854
1,16,5,0.0,205.623,18408,0.9999997324455208,0.011170306388526728,89.52305919084927
1,16,6,0.0,373.066,33261,0.9999955022506616,0.011216319413126483,89.15580621123341
1,16,7,0.021,226.014,20073,1.00000066767906,0.011258556269615904,88.8213351740983
1,16,8,0.021,520.503,46590,1.0000048626238855,0.011171538956857697,89.51318201205804
1,17,0,0.021,278.327,24923,1.0000004449899134,0.011166633230349476,89.5525069527786
